word,count
SONA,78
THE,56
RT,54
TO,36
SA,34
OF,30
HTTPS://T,26
DUTERTE,20
NA,20
ANG,20
S,19
NG,14
AND,14
5TH,13
MGA,12
IN,11
FOR,11
PRESIDENT,10
COVID,9
I,9
WE,9
MY,9
NI,8
WITH,8
THAT,7
19,7
2020,7
THIS,7
A,6
AMP,6
MAY,6
UP,5
IS,5
TAG,5
ON,5
HIS,5
PA,5
DI,4
KA,4
YUNG,4
ME,4
YOU,4
T,4
THEY,4
KO,4
RIN,4
PRES,4
YA,4
WAY,4
FC,4
THALAAJITH,4
RODRIGO,4
ROA,4
STATE,4
SONA2020,4
FIRST,4
SI,4
STUDENT,4
【,3
KHARAA,3
HER,3
OWN,3
NAMAN,3
ONE,3
NO,3
EVERYONE,3
HIM,3
SILA,3
IF,3
WOULD,3
RAPPLERDOTCOM:,3
GLOBE,3
THA,3
LIKE,3
CONGRESS,3
PRRD,3
BEFORE,3
FROM,3
AT,3
LANG,3
PROTESTA,3
DAPAT,3
SONAGKAISA,3
DURING,3
POST,3
ARAW,3
COUNCIL,3
000,3
PRESS,3
WAG,2
MAG,2
TOWER,2
NAMBA:,2
ジェジュン】,2
JUN,2
BHAI,2
BOYCOTT,2
BUT,2
COVERS,2
TIME,2
NADINE,2
HAVE,2
CNNPHILIPPINES:,2
WHY,2
EVEN,2
GET,2
NAKITA,2
TAYO,2
CAN,2
SAME,2
PASSAGE,2
BAYANIHAN,2
AS,2
ACT,2
WHICH,2
RESPONSE,2
AGAINST,2
PANDEMIC,2
GMANEWS:,2
WAR,2
AFTER,2
REAPERSZN,2
FRANKLIN,2
DRILON,2
AGAIN,2
OUR,2
WALANG,2
HUMAN,2
RIGHTS,2
LAW,2
SABI,2
KANYANG,2
JOSEPH,2
PALA,2
SIYA,2
TOTALLY,2
5,2
KACHRA,2
HA,2
HOGA,2
MESSAGE,2
CLEAR,2
PAGE,2
KU,2
FANS,2
VALIMAI,2
AJITHKUMAR,2
21,2
BILLS,2
|,2
MARACEPEDA,2
KATRINADOMINGO,2
YEAR,2
WON,2
REACH,2
NATION,2
ONLY,2
HERE,2
LA,2
QUE,2
TE,2
LOOK:,2
HEALTH,2
DILIMAN,2
BE,2
TWEET,2
F…,2
STEP,2
KAR,2
HE,2
MUJHE,2
UPDATE,2
GIVE,2
DISCUSSIONS,2
RELATED,2
HELD,2
EARLIER,2
AFTERNOON,2
REQUEST,2
SHARES,2
TAYONG,2
WAS,2
GROUPS,2
PROTEST,2
AKO,2
ABOUT,2
NANGA,2
GOVERNMENT,2
ITS,2
YOUR,2
MABUTI,2
HINDI,2
KUNG,2
SAAN,2
IT,2
REACT,2
VERIVERY,2
PLEASE,2
ANCALERTS:,2
SENATE,2
LEADER,2
SAID,2
TAPOS,2
PANGULO,2
ALSO,2
PROVIDED,2
THROUGH,2
WERE,2
KANYA,2
NGAYONG,2
ALL,2
WHAT,2
BA,2
PARA,2
…,2
OFWS,2
MATAPOS,2
NEW,2
EXECUTIVE,2
ZUBIRI,2
TEST,2
PERO,2
WAKASONA2020,2
WATCHMEJAYJAY:,1
AY,1
NAKANOOD,1
ALALA,1
ITO,1
SUMMARY,1
PLANO,1
TATAY,1
LABAN,1
19:,1
THREAD,1
カバーアルバムを引っさげたツアー映像🎥/,1
ツアー映像『J,1
LIVE,1
2019～LOVE,1
COVERS～』本日入荷しました🙌,1
2日間のみのプレミアムライヴを映像とCDでお楽しみいただける豪華盤,1
CDがあれば…,1
KAPILKOLOTYA,1
JO,1
LE,1
LIYA,1
HAI,1
MENE,1
3SAAL,1
PEHLE,1
USKO,1
KR,1
DUGA,1
MUJY,1
MADE,1
INDIA,1
IPHONE,1
DEDO,1
ジェジュンの優しく、深い歌声がしみわたる,1
/,1
カバーアルバム『LOVE,1
Ⅱ』本日入荷しました🙌,1
原曲の良さをひきたてるだけでなく、ジェジュンらしさも全開のアルバムです♪,1
🎁タワレコ特典はアナザージャ…,1
JADINETRASH:,1
THOUGHTS,1
STYLE,1
THANK,1
BATTLES,1
FIGHT,1
ALWAYS,1
BEEN,1
BIGGER…,1
ABSOLUTALBERT:,1
VP,1
ISN,1
INVITED,1
DESIGNATED,1
SURVIVOR,1
THREAD:,1
PUSHED,1
REIMPOSITION,1
CAPITAL,1
PUNISHMENT,1
SPECIFYING,1
METHOD,1
LETHAL,1
INJECTION,1
HEINO…,1
QUARKHENARES:,1
DO,1
FILMMAKERS,1
SHOOT,1
FUCKING,1
HASHTAG,1
NIKKO13:,1
SONA😢😢,1
HAYAAN,1
NGA,1
NILA,1
NAKIKITA,1
HOPE,1
SOME,1
OR,1
TREATMENT,1
CLARITY,1
PURPOSE,1
FASTNESS,1
SUPPORT,1
RECOVER,1
WILL,1
SUPPLEMENT,1
FUNDS,1
RECOVERY,1
IMPACT,1
PHILIPPINE,1
NEIGHBORS,1
STANDING,1
CHINA,1
WITHOUT,1
CARPIO,1
TELLS,1
CO/NIEAEXKBCU,1
STUPID,1
MASKERS,1
RUINING,1
FUN,1
ONLINE,1
OFF,1
😭😭,1
IAMKARENDAVILA:,1
OKAY,1
CLEARLY,1
SENATOR,1
CONSCIOUSNESS,1
MENTIONING,1
CALLS,1
HIM…,1
MARAWI:,1
FAKE,1
NEWS:,1
VIOLATION,1
MARTIAL,1
NYA,1
CO/YDT5A7F6KI,1
THISISOURMINDANAO,1
MORONG:,1
TADAH,1
HIGHLIGHTS,1
GMANEWS,1
CO/BC4VFGYRPQ,1
MARVSMODEL,1
MALIBAN,1
VICE,1
NASA,1
😁,1
SERAHPHYMN,1
🥺,1
MET,1
VIBE,1
FAHMIRAZA1RAZA,1
AJMALJAMI,1
DUMPING,1
NAME,1
HY,1
KBHI,1
PAIDA,1
HONA,1
GVT,1
OSKO,1
DISPOSE,1
KRNA,1
JAB,1
LOG,1
KAHAN,1
DUMPKRY,1
BATAO,1
HMV,1
KAWASAKI:,1
ジェジュン】大ヒットしたカバーアルバムの第2弾「LOVE,1
II」入荷しました✨CDの2形態には先着ご購入特典で「アナザージャケット（HMV絵柄）」をお付けしています🌹プレミアムライブを収録した映像作品「J,1
LIVE…,1
SEEMS,1
CLEAR:,1
SMART,1
GO,1
ABS,1
CBN,1
CANNOT,1
CREATIVE,1
LEGAL,1
HURDLES,1
WIL…,1
EVANU,1
THALA,1
KAGA,1
VARALA,1
ELAN,1
ERKANGA,1
YARU,1
ENADA,1
KIRUIU,1
KO🔥GALA,1
CO/HQ14YGO6LU,1
LIST:,1
PRIORITY,1
BY,1
CO/CSIWT3LZ3O,1
ABSCBNNEWS,1
DID,1
WATCH,1
VERSION,1
IBA,1
ATA,1
NAPANOOD,1
IMEE,1
ITSACSLIFE:,1
FACT,1
WHOLE,1
BECAUSE,1
STATION,1
NATIONWIDE,1
WAS…,1
HANSSENSANTHONY:,1
^^,1
CO/X0AW68YUY5,1
DDS:,1
KAYO,1
INYO,1
ANO,1
YAN,1
AMPOTA,1
HAHAHA,1
REITERATE,1
THANKS,1
MEN,1
WOMEN,1
EFFORT,1
INVESTED,1
INTO,1
PASSING,1
QUÉDATE,1
CON,1
PERSONA,1
DEJE,1
IR,1
DORMIR,1
SIN,1
ANTES,1
DECIRTE,1
DECANSA,1
SOÑA,1
BONITO,1
Y,1
RECUERDA,1
QUIERO,1
MUCHO,1
PATI,1
WORKER,1
SUMALI,1
ANTI,1
RALLY,1
KANINANG,1
UMAGA,1
AYON,1
DUMALO,1
MALALA,1
PRO…,1
LEAMAINE2019:,1
HELLO,1
THERE,1
QUEEN,1
MAINEDCM,1
XA0,1
LL,1
ATTENDING,1
W/,1
LEADERS,1
ACROSS,1
SO,1
ABLE,1
HEROANGEL17:,1
ACCOMPLISHMENT,1
🤭✊,1
DIFFICULT,1
MERE,1
LIYE,1
LEGA,1
ROHIT,1
LUNGA,1
PASAND,1
